scoreID,scoreName,userID
1,Wellbeing,1
2,GAD7,1
3,Steps,1
4,Wellbeing,2
5,GAD7,2
6,Steps,3
7,Wellbeing,3
8,GAD7,4
9,Steps,4
10,Wellbeing,4
11,GAD7,5
12,Steps,5
13,Wellbeing,5
14,GAD7,6
15,Steps,6
16,Wellbeing,6
17,GAD7,7
18,Steps,7
19,Wellbeing,7
20,GAD7,8
21,Steps,8
22,Wellbeing,8
23,GAD7,9
24,Steps,9
25,Wellbeing,10
26,GAD7,10
27,Steps,10
28,Wellbeing,11
29,GAD7,11
30,Steps,11
31,Wellbeing,13
32,GAD7,13
33,Steps,13
34,Wellbeing,14
35,GAD7,14
36,Steps,14
37,Wellbeing,15
38,GAD7,15
39,Steps,15
40,Wellbeing,16
41,GAD7,16
42,Steps,16
43,Wellbeing,17
44,GAD7,17
45,Wellbeing,18
46,GAD7,18
47,Steps,18
48,Wellbeing,19
49,GAD7,19
50,Steps,19
51,Wellbeing,20
52,GAD7,20
53,Steps,20
